Titulo;Descripcion;Categoria;latitud;longitud;fecha del hecho;provincia;hora
67;Colision vehiculo-persona;Accidente automovilistico;-40;-71;17/3/2017;Buenos Aires;23
68;Colision vehiculo-vehiculo;Accidente automovilistico;-23;-64;18/2/2017;Buenos Aires;23
69;Colision vehiculo-vehiculo;Accidente automovilistico;-23;-64;18/2/2017;Buenos Aires;23
70;Vuelco-Despistes;Accidente automovilistico;-23;-64;19/2/2017;Buenos Aires;23
71;Vuelco-Despistes;Accidente automovilistico;-23;-64;19/2/2017;Buenos Aires;23
72;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-66;20/2/2017;Buenos Aires;23
73;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-66;20/2/2017;Buenos Aires;23
74;Vuelco-Despistes;Accidente automovilistico;-26;-65;19/2/2017;Buenos Aires;23
75;Vuelco-Despistes;Accidente automovilistico;-26;-65;19/2/2017;Buenos Aires;23
76;Vuelco-Despistes;Accidente automovilistico;-26;-65;19/2/2017;Buenos Aires;23
77;Colision vehiculo-vehiculo;Accidente automovilistico;-26;-65;20/2/2017;Buenos Aires;23
78;Colision vehiculo-vehiculo;Accidente automovilistico;-26;-65;20/2/2017;Buenos Aires;23
79;Vuelco-Despistes;Accidente automovilistico;-25;-65;5/3/2017;Buenos Aires;23
80;Vuelco-Despistes;Accidente automovilistico;-25;-65;5/3/2017;Buenos Aires;23
81;Colision vehiculo-persona;Accidente automovilistico;-40;-71;19/3/2017;Buenos Aires;23
82;Colision vehiculo-persona;Accidente automovilistico;-40;-71;19/3/2017;Buenos Aires;23
83;Colision vehiculo-vehiculo;Accidente automovilistico;-39;-68;18/4/2017;Buenos Aires;23
84;Colision vehiculo-vehiculo;Accidente automovilistico;-39;-68;18/4/2017;Buenos Aires;23
85;Vuelco-Despistes;Accidente automovilistico;-38;-69;30/4/2017;Buenos Aires;23
86;Colision vehiculo-persona;Accidente automovilistico;-43;-65;22/1/2017;Buenos Aires;23
87;Colision vehiculo-persona;Accidente automovilistico;-43;-65;22/1/2017;Buenos Aires;23
88;Colision vehiculo-objeto;Accidente automovilistico;-39;-70;9/4/2017;Buenos Aires;23
89;Colision vehiculo-vehiculo;Accidente automovilistico;-39;-68;2/5/2017;Buenos Aires;23
90;Colision vehiculo-vehiculo;Accidente automovilistico;-39;-68;2/5/2017;Buenos Aires;23
91;Colision vehiculo-vehiculo;Accidente automovilistico;-39;-68;6/5/2017;Buenos Aires;23
92;Colision vehiculo-vehiculo;Accidente automovilistico;-39;-68;6/5/2017;Buenos Aires;23
