Titulo;Descripcion;Categoria;latitud;longitud;fecha_hecho
13122;RUTA NACIONAL 22;Colisión vehículo-persona;-39;-69;7/3/2017
13123;RUTA NACIONAL 237;Vuelco-Despistes;-40;-70;23/3/2017
13124;RUTA PROVINCIAL 60;Vuelco-Despistes;;;27/3/2017
13125;AVENIDA KOESSLER;Colisión vehículo-persona;-40;-71;17/3/2017
13125;AVENIDA KOESSLER;Colisión vehículo-persona;-40;-71;17/3/2017
13126;RUTA NACIONAL N° 81;Otro;;;12/2/2017
13126;RUTA NACIONAL N° 81;Otro;;;12/2/2017
13127;RUTA PROVINCIAL N° 13;Vuelco-Despistes;;;12/2/2017
13127;RUTA PROVINCIAL N° 13;Vuelco-Despistes;;;12/2/2017
13128;RUTA NACIONAL N° 68;Colisión vehículo-vehículo;;;14/2/2017
13128;RUTA NACIONAL N° 68;Colisión vehículo-vehículo;;;14/2/2017
13129;RUTA NACIONAL 34;Colisión vehículo-vehículo;-23;-64;18/2/2017
13129;RUTA NACIONAL 34;Colisión vehículo-vehículo;-23;-64;18/2/2017
13130;CAMINO VECINAL MISION LA PAZ;Otro;;;19/2/2017
13130;CAMINO VECINAL MISION LA PAZ;Otro;;;19/2/2017
13131;RUTA NACIONAL N° 34;Vuelco-Despistes;-23;-64;19/2/2017
13131;RUTA NACIONAL N° 34;Vuelco-Despistes;-23;-64;19/2/2017
13132;AV. 9 DE JULIO;Colisión vehículo-vehículo;-25;-66;20/2/2017
13132;AV. 9 DE JULIO;Colisión vehículo-vehículo;-25;-66;20/2/2017
13133;RUTA NACIONAL 9/34;Vuelco-Despistes;-26;-65;19/2/2017
13133;RUTA NACIONAL 9/34;Vuelco-Despistes;-26;-65;19/2/2017
13133;RUTA NACIONAL 9/34;Vuelco-Despistes;-26;-65;19/2/2017
13134;JURAMENTO;Colisión vehículo-vehículo;-26;-65;20/2/2017
13134;JURAMENTO;Colisión vehículo-vehículo;-26;-65;20/2/2017
13135;RUTA PROVINCIAL N° 26;Colisión vehículo-vehículo;;;20/2/2017
13135;RUTA PROVINCIAL N° 26;Colisión vehículo-vehículo;;;20/2/2017
13136;AV. JUAN MANUEL DE ROSAS;Otro;;;26/2/2017
13136;AV. JUAN MANUEL DE ROSAS;Otro;;;26/2/2017
13137;AV. TAVELLA;Colisión vehículo-vehículo;;;4/3/2017
13137;AV. TAVELLA;Colisión vehículo-vehículo;;;4/3/2017
13137;AV. TAVELLA;Colisión vehículo-vehículo;;;4/3/2017
13138;AV. PONTUSSI;Colisión vehículo-vehículo;;;5/3/2017
13138;AV. PONTUSSI;Colisión vehículo-vehículo;;;5/3/2017
13139;RUTA NACIONAL N° 34;Vuelco-Despistes;-25;-65;5/3/2017
13139;RUTA NACIONAL N° 34;Vuelco-Despistes;-25;-65;5/3/2017
13140;RUTA NACIONAL 40;Colisión vehículo-persona;-40;-71;19/3/2017
13140;RUTA NACIONAL 40;Colisión vehículo-persona;-40;-71;19/3/2017
13141;RUTA NACIONAL 40;Vuelco-Despistes;;;1/3/2017
13141;RUTA NACIONAL 40;Vuelco-Despistes;;;1/3/2017
13141;RUTA NACIONAL 40;Vuelco-Despistes;;;1/3/2017
13141;RUTA NACIONAL 40;Vuelco-Despistes;;;1/3/2017
13142;RUTA 7;Colisión vehículo-vehículo;-39;-68;18/4/2017
13142;RUTA 7;Colisión vehículo-vehículo;-39;-68;18/4/2017
13143;RUTA PROVINCIAL 7;Vuelco-Despistes;-38;-69;30/4/2017
13144;CRISTOBAL COLON;Colisión vehículo-persona;-43;-65;22/1/2017
13144;CRISTOBAL COLON;Colisión vehículo-persona;-43;-65;22/1/2017
13145;RUTA NAC. NRO. 25;Colisión vehículo-vehículo;;;25/1/2017
13145;RUTA NAC. NRO. 25;Colisión vehículo-vehículo;;;25/1/2017
13146;PREDIO DE JINETEADA;Colisión vehículo-objeto;;;13/4/2017
13147;RUTA NACIONAL 40;Colisión vehículo-objeto;-39;-70;9/4/2017
13148;RUTA NACIONAL 22;Colisión vehículo-vehículo;-39;-68;2/5/2017
13148;RUTA NACIONAL 22;Colisión vehículo-vehículo;-39;-68;2/5/2017
13149;RUTA NACIONAL 22;Colisión vehículo-vehículo;-39;-68;6/5/2017
13149;RUTA NACIONAL 22;Colisión vehículo-vehículo;-39;-68;6/5/2017
13150;RUTA NACIONAL 22;Colisión vehículo-persona;-39;-70;24/4/2017
13150;RUTA NACIONAL 22;Colisión vehículo-persona;-39;-70;24/4/2017
