Titulo;Descripcion;Categoría;latitud;longitud;fecha del hecho;;;;;
76;Vuelco-Despistes;Accidente automovilistico;-26;-65;19/2/2017;;;;;
77;Colisión vehículo-vehículo;Accidente automovilistico;-26;-65;20/2/2017;;;;;
78;Colisión vehículo-vehículo;Accidente automovilistico;-26;-65;20/2/2017;;;;;
79;Vuelco-Despistes;Accidente automovilistico;-25;-65;5/3/2017;;;;;
80;Vuelco-Despistes;Accidente automovilistico;-25;-65;5/3/2017;;;;;
81;Colisión vehículo-persona;Accidente automovilistico;-40;-71;19/3/2017;;;;;
82;Colisión vehículo-persona;Accidente automovilistico;-40;-71;19/3/2017;;;;;
83;Colisión vehículo-vehículo;Accidente automovilistico;-39;-68;18/4/2017;;;;;
84;Colisión vehículo-vehículo;Accidente automovilistico;-39;-68;18/4/2017;;;;;
85;Vuelco-Despistes;Accidente automovilistico;-38;-69;30/4/2017;;;;;
86;Colisión vehículo-persona;Accidente automovilistico;-43;-65;22/1/2017;;;;;
87;Colisión vehículo-persona;Accidente automovilistico;-43;-65;22/1/2017;;;;;
88;Colisión vehículo-objeto;Accidente automovilistico;-39;-70;9/4/2017;;;;;
89;Colisión vehículo-vehículo;Accidente automovilistico;-39;-68;2/5/2017;;;;;
90;Colisión vehículo-vehículo;Accidente automovilistico;-39;-68;2/5/2017;;;;;
91;Colisión vehículo-vehículo;Accidente automovilistico;-39;-68;6/5/2017;;;;;
92;Colisión vehículo-vehículo;Accidente automovilistico;-39;-68;6/5/2017;;;;;
93;Colisión vehículo-persona;Accidente automovilistico;-39;-70;24/4/2017;;;;;
94;Colisión vehículo-persona;Accidente automovilistico;-39;-70;24/4/2017;;;;;
95;Colisión vehículo-vehículo;Accidente automovilistico;-39;-68;18/5/2017;;;;;
96;Colisión vehículo-vehículo;Accidente automovilistico;-39;-68;18/5/2017;;;;;
97;Colisión vehículo-persona;Accidente automovilistico;-39;-68;20/5/2017;;;;;
98;Colisión vehículo-persona;Accidente automovilistico;-39;-68;20/5/2017;;;;;
99;Colisión vehículo-vehículo;Accidente automovilistico;-39;-68;14/6/2017;;;;;
